age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1073,1.009,NaN,NaN,-0.51,0.15,-1.17
1074,0.932,NaN,NaN,-0.49,0.17,-1.15
1075,0.963,NaN,NaN,-0.46,0.21,-1.12
1076,0.972,NaN,NaN,-0.41,0.25,-1.07
1077,0.987,NaN,NaN,-0.35,0.31,-1.02
1078,0.995,NaN,NaN,-0.28,0.38,-0.95
1079,1.041,NaN,NaN,-0.21,0.46,-0.87
1080,1.027,NaN,NaN,-0.12,0.54,-0.78
1081,1.044,NaN,NaN,-0.03,0.63,-0.7
1082,1.085,NaN,NaN,0.06,0.72,-0.61
1083,1.071,NaN,NaN,0.14,0.81,-0.52
1084,1.037,NaN,NaN,0.22,0.88,-0.44
1085,1.028,NaN,NaN,0.29,0.95,-0.37
1086,1.084,NaN,NaN,0.35,1.01,-0.32
1087,1.114,NaN,NaN,0.39,1.05,-0.28
1088,1.089,NaN,NaN,0.41,1.07,-0.26
1089,1.074,NaN,NaN,0.41,1.07,-0.26
1090,1.075,NaN,NaN,0.38,1.05,-0.28
1091,1.112,NaN,NaN,0.34,1,-0.32
1092,1.091,NaN,NaN,0.27,0.93,-0.39
1093,1.077,NaN,NaN,0.18,0.85,-0.48
1094,1.105,NaN,NaN,0.08,0.74,-0.59
1095,1.017,NaN,NaN,-0.05,0.62,-0.71
1096,1.143,NaN,NaN,-0.18,0.48,-0.85
1097,0.996,NaN,NaN,-0.33,0.33,-0.99
1098,1.015,NaN,NaN,-0.49,0.18,-1.15
1099,0.91,NaN,NaN,-0.64,0.02,-1.31
1100,1.02,NaN,NaN,-0.8,-0.14,-1.46
1101,0.979,NaN,NaN,-0.96,-0.29,-1.62
1102,0.979,NaN,NaN,-1.1,-0.44,-1.77
1103,0.926,NaN,NaN,-1.24,-0.58,-1.91
1104,0.965,NaN,NaN,-1.37,-0.71,-2.04
1105,0.945,NaN,NaN,-1.49,-0.83,-2.15
1106,1.015,NaN,NaN,-1.59,-0.93,-2.26
1107,0.988,NaN,NaN,-1.68,-1.02,-2.35
1108,0.961,NaN,NaN,-1.76,-1.1,-2.42
1109,0.857,NaN,NaN,-1.82,-1.16,-2.49
1110,0.925,NaN,NaN,-1.87,-1.21,-2.54
1111,0.885,NaN,NaN,-1.91,-1.24,-2.57
1112,0.971,NaN,NaN,-1.93,-1.27,-2.6
1113,0.884,NaN,NaN,-1.95,-1.28,-2.61
1114,0.991,NaN,NaN,-1.95,-1.29,-2.62
1115,0.954,NaN,NaN,-1.95,-1.29,-2.61
1116,0.978,NaN,NaN,-1.94,-1.28,-2.6
1117,1.031,NaN,NaN,-1.92,-1.26,-2.58
1118,0.937,NaN,NaN,-1.9,-1.23,-2.56
1119,0.99,NaN,NaN,-1.87,-1.2,-2.53
1120,0.864,NaN,NaN,-1.83,-1.17,-2.49
1121,0.861,NaN,NaN,-1.79,-1.13,-2.46
1122,0.941,NaN,NaN,-1.75,-1.08,-2.41
1123,0.993,NaN,NaN,-1.7,-1.04,-2.36
1124,0.982,NaN,NaN,-1.65,-0.99,-2.32
1125,1.069,NaN,NaN,-1.61,-0.94,-2.27
1126,0.9,NaN,NaN,-1.56,-0.89,-2.22
1127,0.88,NaN,NaN,-1.51,-0.85,-2.18
1128,0.999,NaN,NaN,-1.47,-0.81,-2.14
1129,1.056,NaN,NaN,-1.44,-0.78,-2.1
1130,0.842,NaN,NaN,-1.41,-0.75,-2.08
1131,1.125,NaN,NaN,-1.39,-0.73,-2.06
1132,0.965,NaN,NaN,-1.38,-0.72,-2.04
1133,1.119,NaN,NaN,-1.38,-0.72,-2.04
1134,0.971,NaN,NaN,-1.39,-0.73,-2.05
1135,0.884,NaN,NaN,-1.4,-0.74,-2.07
1136,1.063,NaN,NaN,-1.43,-0.76,-2.09
1137,0.902,NaN,NaN,-1.46,-0.79,-2.12
1138,1.018,NaN,NaN,-1.49,-0.83,-2.15
1139,0.943,NaN,NaN,-1.53,-0.86,-2.19
1140,0.948,NaN,NaN,-1.56,-0.9,-2.23
1141,0.985,NaN,NaN,-1.6,-0.94,-2.26
1142,0.995,NaN,NaN,-1.63,-0.97,-2.29
1143,0.875,NaN,NaN,-1.66,-0.99,-2.32
1144,1.032,NaN,NaN,-1.68,-1.02,-2.34
1145,0.838,NaN,NaN,-1.69,-1.03,-2.36
1146,0.93,NaN,NaN,-1.7,-1.04,-2.36
1147,1.045,NaN,NaN,-1.7,-1.04,-2.36
1148,0.982,NaN,NaN,-1.69,-1.03,-2.35
1149,0.945,NaN,NaN,-1.67,-1.01,-2.34
1150,0.932,NaN,NaN,-1.65,-0.98,-2.31
1151,1.095,NaN,NaN,-1.61,-0.95,-2.27
1152,0.745,NaN,NaN,-1.57,-0.9,-2.23
1153,0.951,NaN,NaN,-1.52,-0.85,-2.18
1154,0.92,NaN,NaN,-1.46,-0.8,-2.12
1155,1,NaN,NaN,-1.4,-0.73,-2.06
1156,1.075,NaN,NaN,-1.33,-0.66,-1.99
1157,1.123,NaN,NaN,-1.25,-0.59,-1.91
1158,0.928,NaN,NaN,-1.17,-0.51,-1.84
1159,0.96,NaN,NaN,-1.09,-0.43,-1.75
1160,0.93,NaN,NaN,-1,-0.34,-1.67
1161,0.879,NaN,NaN,-0.92,-0.25,-1.58
1162,1.069,NaN,NaN,-0.83,-0.17,-1.49
1163,0.952,NaN,NaN,-0.74,-0.08,-1.41
1164,1.06,NaN,NaN,-0.66,0,-1.32
1165,1.038,NaN,NaN,-0.58,0.09,-1.24
1166,1.037,NaN,NaN,-0.5,0.16,-1.16
1167,1.043,NaN,NaN,-0.43,0.23,-1.09
1168,1.054,NaN,NaN,-0.36,0.3,-1.03
1169,0.993,NaN,NaN,-0.3,0.36,-0.97
1170,1.101,NaN,NaN,-0.25,0.41,-0.92
1171,1.016,NaN,NaN,-0.21,0.45,-0.87
1172,1.043,NaN,NaN,-0.17,0.49,-0.84
1173,1.014,NaN,NaN,-0.14,0.52,-0.81
1174,1.035,NaN,NaN,-0.12,0.54,-0.78
1175,1.056,NaN,NaN,-0.1,0.56,-0.77
1176,1.032,NaN,NaN,-0.09,0.57,-0.76
1177,1.067,NaN,NaN,-0.09,0.57,-0.75
1178,1.067,NaN,NaN,-0.09,0.57,-0.75
1179,0.985,NaN,NaN,-0.09,0.57,-0.76
1180,0.949,NaN,NaN,-0.11,0.56,-0.77
1181,1.007,NaN,NaN,-0.12,0.54,-0.79
1182,1.08,NaN,NaN,-0.15,0.51,-0.81
1183,1.121,NaN,NaN,-0.18,0.48,-0.85
1184,1.006,NaN,NaN,-0.22,0.44,-0.89
1185,1.096,NaN,NaN,-0.27,0.39,-0.93
1186,0.975,NaN,NaN,-0.32,0.34,-0.99
1187,1.15,NaN,NaN,-0.38,0.28,-1.04
1188,1.024,NaN,NaN,-0.44,0.22,-1.11
1189,0.963,NaN,NaN,-0.51,0.16,-1.17
1190,1.056,NaN,NaN,-0.57,0.09,-1.23
1191,0.936,NaN,NaN,-0.63,0.03,-1.3
1192,1.079,NaN,NaN,-0.69,-0.03,-1.35
1193,0.923,NaN,NaN,-0.74,-0.08,-1.41
1194,0.957,NaN,NaN,-0.78,-0.12,-1.45
1195,0.976,NaN,NaN,-0.82,-0.16,-1.48
1196,0.98,NaN,NaN,-0.85,-0.18,-1.51
1197,0.951,NaN,NaN,-0.86,-0.2,-1.52
1198,0.94,NaN,NaN,-0.87,-0.21,-1.53
1199,0.958,NaN,NaN,-0.87,-0.21,-1.53
1200,1.12,NaN,NaN,-0.87,-0.2,-1.53
1201,1.071,NaN,NaN,-0.86,-0.2,-1.52
1202,1.029,NaN,NaN,-0.85,-0.19,-1.52
1203,0.989,NaN,NaN,-0.85,-0.18,-1.51
1204,0.92,NaN,NaN,-0.84,-0.18,-1.51
1205,0.987,NaN,NaN,-0.84,-0.18,-1.51
1206,1.033,NaN,NaN,-0.85,-0.19,-1.51
1207,1.028,NaN,NaN,-0.86,-0.2,-1.52
1208,0.943,NaN,NaN,-0.88,-0.22,-1.55
1209,1.039,NaN,NaN,-0.91,-0.25,-1.57
1210,1.08,NaN,NaN,-0.94,-0.28,-1.61
1211,1.049,NaN,NaN,-0.98,-0.32,-1.64
1212,1.005,NaN,NaN,-1.02,-0.36,-1.69
1213,0.993,NaN,NaN,-1.07,-0.41,-1.73
1214,0.893,NaN,NaN,-1.11,-0.45,-1.78
1215,1.039,NaN,NaN,-1.15,-0.49,-1.82
1216,1.023,NaN,NaN,-1.19,-0.53,-1.85
1217,0.878,NaN,NaN,-1.22,-0.56,-1.88
1218,0.897,NaN,NaN,-1.24,-0.58,-1.91
1219,0.992,NaN,NaN,-1.26,-0.6,-1.92
1220,0.966,NaN,NaN,-1.27,-0.6,-1.93
1221,1.066,NaN,NaN,-1.26,-0.6,-1.93
1222,0.855,NaN,NaN,-1.26,-0.59,-1.92
1223,0.975,NaN,NaN,-1.24,-0.58,-1.91
1224,0.985,NaN,NaN,-1.22,-0.56,-1.89
1225,1.013,NaN,NaN,-1.2,-0.54,-1.87
1226,1.026,NaN,NaN,-1.18,-0.52,-1.84
1227,0.943,NaN,NaN,-1.16,-0.5,-1.82
1228,1.064,NaN,NaN,-1.14,-0.48,-1.8
1229,1.001,NaN,NaN,-1.12,-0.46,-1.79
1230,0.992,NaN,NaN,-1.11,-0.45,-1.77
1231,0.953,NaN,NaN,-1.1,-0.44,-1.77
1232,1.049,NaN,NaN,-1.1,-0.43,-1.76
1233,1.066,NaN,NaN,-1.09,-0.43,-1.76
1234,0.883,NaN,NaN,-1.09,-0.43,-1.76
1235,0.995,NaN,NaN,-1.1,-0.43,-1.76
1236,0.965,NaN,NaN,-1.1,-0.43,-1.76
1237,0.94,NaN,NaN,-1.1,-0.43,-1.76
1238,0.999,NaN,NaN,-1.1,-0.43,-1.76
1239,1.003,NaN,NaN,-1.09,-0.43,-1.76
1240,1.022,NaN,NaN,-1.09,-0.42,-1.75
1241,1.019,NaN,NaN,-1.08,-0.41,-1.74
1242,0.999,NaN,NaN,-1.06,-0.4,-1.73
1243,0.961,NaN,NaN,-1.04,-0.38,-1.71
1244,0.958,NaN,NaN,-1.02,-0.36,-1.69
1245,1.026,NaN,NaN,-1,-0.34,-1.66
1246,0.878,NaN,NaN,-0.97,-0.31,-1.64
1247,1.003,NaN,NaN,-0.94,-0.28,-1.61
1248,0.967,NaN,NaN,-0.92,-0.25,-1.58
1249,1.09,NaN,NaN,-0.89,-0.23,-1.55
1250,0.953,NaN,NaN,-0.87,-0.2,-1.53
1251,1.057,NaN,NaN,-0.85,-0.18,-1.51
1252,1.066,NaN,NaN,-0.83,-0.17,-1.49
1253,1.005,NaN,NaN,-0.83,-0.16,-1.49
1254,1.01,NaN,NaN,-0.83,-0.16,-1.49
1255,0.962,NaN,NaN,-0.83,-0.17,-1.5
1256,0.965,NaN,NaN,-0.85,-0.19,-1.51
1257,1.045,NaN,NaN,-0.87,-0.21,-1.54
1258,1.002,NaN,NaN,-0.9,-0.24,-1.56
1259,1.039,NaN,NaN,-0.94,-0.27,-1.6
1260,1.04,NaN,NaN,-0.98,-0.31,-1.64
1261,1.06,NaN,NaN,-1.02,-0.36,-1.68
1262,1.05,NaN,NaN,-1.06,-0.4,-1.72
1263,0.743,NaN,NaN,-1.1,-0.43,-1.77
1264,1.022,NaN,NaN,-1.14,-0.47,-1.8
1265,0.982,NaN,NaN,-1.17,-0.51,-1.83
1266,0.993,NaN,NaN,-1.19,-0.53,-1.86
1267,0.941,NaN,NaN,-1.21,-0.55,-1.88
1268,0.972,NaN,NaN,-1.22,-0.56,-1.89
1269,0.995,NaN,NaN,-1.23,-0.57,-1.89
1270,0.98,NaN,NaN,-1.23,-0.56,-1.89
1271,0.949,NaN,NaN,-1.22,-0.55,-1.88
1272,1.035,NaN,NaN,-1.2,-0.54,-1.86
1273,0.916,NaN,NaN,-1.18,-0.52,-1.84
1274,0.974,NaN,NaN,-1.16,-0.49,-1.82
1275,0.977,NaN,NaN,-1.13,-0.47,-1.79
1276,1.032,NaN,NaN,-1.1,-0.44,-1.76
1277,1.018,NaN,NaN,-1.07,-0.41,-1.74
1278,1.022,NaN,NaN,-1.04,-0.38,-1.71
1279,1.05,NaN,NaN,-1.02,-0.35,-1.68
1280,0.904,NaN,NaN,-0.99,-0.32,-1.65
1281,1.008,NaN,NaN,-0.96,-0.3,-1.62
1282,0.959,NaN,NaN,-0.93,-0.27,-1.59
1283,1.006,NaN,NaN,-0.9,-0.24,-1.57
1284,1.077,NaN,NaN,-0.87,-0.21,-1.54
1285,0.913,NaN,NaN,-0.84,-0.18,-1.51
1286,1.032,NaN,NaN,-0.81,-0.15,-1.48
1287,0.979,NaN,NaN,-0.78,-0.12,-1.45
1288,0.967,NaN,NaN,-0.75,-0.09,-1.42
1289,1.05,NaN,NaN,-0.72,-0.06,-1.38
1290,1.044,NaN,NaN,-0.69,-0.03,-1.35
1291,1.029,NaN,NaN,-0.66,0,-1.32
1292,0.914,NaN,NaN,-0.63,0.03,-1.3
1293,0.975,NaN,NaN,-0.61,0.06,-1.27
1294,1.065,NaN,NaN,-0.58,0.08,-1.25
1295,1.047,NaN,NaN,-0.56,0.1,-1.23
1296,1.038,NaN,NaN,-0.55,0.12,-1.21
1297,1.029,NaN,NaN,-0.53,0.13,-1.2
1298,1.075,NaN,NaN,-0.52,0.14,-1.18
1299,0.994,NaN,NaN,-0.51,0.15,-1.17
1300,1.012,NaN,NaN,-0.5,0.16,-1.16
1301,1.056,NaN,NaN,-0.49,0.18,-1.15
1302,0.969,NaN,NaN,-0.47,0.19,-1.14
1303,0.991,NaN,NaN,-0.46,0.21,-1.12
1304,1.034,NaN,NaN,-0.44,0.22,-1.1
1305,0.945,NaN,NaN,-0.42,0.25,-1.08
1306,0.924,NaN,NaN,-0.4,0.27,-1.06
1307,1.02,NaN,NaN,-0.37,0.29,-1.04
1308,1.1,NaN,NaN,-0.35,0.31,-1.02
1309,1.08,NaN,NaN,-0.34,0.32,-1
1310,0.99,NaN,NaN,-0.33,0.33,-0.99
1311,1.004,NaN,NaN,-0.32,0.34,-0.99
1312,1.04,NaN,NaN,-0.33,0.33,-0.99
1313,1.087,NaN,NaN,-0.35,0.32,-1.01
1314,1.056,NaN,NaN,-0.37,0.29,-1.03
1315,1.142,NaN,NaN,-0.41,0.26,-1.07
1316,1.052,NaN,NaN,-0.45,0.21,-1.11
1317,1.046,NaN,NaN,-0.5,0.16,-1.16
1318,1.039,NaN,NaN,-0.55,0.11,-1.21
1319,0.83,NaN,NaN,-0.61,0.06,-1.27
1320,0.979,NaN,NaN,-0.66,0.01,-1.32
1321,1.041,NaN,NaN,-0.7,-0.04,-1.37
1322,1.019,NaN,NaN,-0.75,-0.08,-1.41
1323,0.937,NaN,NaN,-0.78,-0.11,-1.44
1324,0.956,NaN,NaN,-0.8,-0.14,-1.46
1325,1.04,NaN,NaN,-0.81,-0.15,-1.48
1326,0.911,NaN,NaN,-0.82,-0.15,-1.48
1327,1.08,NaN,NaN,-0.81,-0.15,-1.47
1328,0.859,NaN,NaN,-0.8,-0.13,-1.46
1329,1.02,NaN,NaN,-0.78,-0.12,-1.44
1330,1.044,NaN,NaN,-0.76,-0.09,-1.42
1331,1.054,NaN,NaN,-0.73,-0.07,-1.4
1332,1.006,NaN,NaN,-0.71,-0.05,-1.37
1333,1.052,NaN,NaN,-0.69,-0.03,-1.35
1334,1.064,NaN,NaN,-0.67,-0.01,-1.34
1335,1.02,NaN,NaN,-0.66,0,-1.32
1336,0.983,NaN,NaN,-0.65,0.01,-1.31
1337,1.067,NaN,NaN,-0.65,0.02,-1.31
1338,0.882,NaN,NaN,-0.65,0.02,-1.31
1339,1.054,NaN,NaN,-0.65,0.01,-1.32
1340,0.919,NaN,NaN,-0.66,0,-1.33
1341,1.085,NaN,NaN,-0.68,-0.01,-1.34
1342,1.082,NaN,NaN,-0.69,-0.03,-1.35
1343,1.024,NaN,NaN,-0.71,-0.05,-1.37
1344,0.954,NaN,NaN,-0.73,-0.07,-1.4
1345,0.994,NaN,NaN,-0.76,-0.09,-1.42
1346,0.904,NaN,NaN,-0.79,-0.12,-1.45
1347,1.007,NaN,NaN,-0.82,-0.15,-1.48
1348,1.095,NaN,NaN,-0.85,-0.19,-1.51
1349,1.057,NaN,NaN,-0.88,-0.22,-1.55
1350,0.946,NaN,NaN,-0.92,-0.26,-1.58
1351,1.102,NaN,NaN,-0.95,-0.29,-1.62
1352,0.994,NaN,NaN,-0.99,-0.33,-1.65
1353,0.915,NaN,NaN,-1.02,-0.36,-1.69
1354,1.044,NaN,NaN,-1.05,-0.39,-1.72
1355,0.973,NaN,NaN,-1.08,-0.42,-1.74
1356,0.781,NaN,NaN,-1.1,-0.43,-1.77
1357,1.03,NaN,NaN,-1.11,-0.45,-1.77
1358,1.118,NaN,NaN,-1.11,-0.45,-1.78
1359,0.978,NaN,NaN,-1.11,-0.45,-1.77
1360,0.883,NaN,NaN,-1.09,-0.43,-1.76
1361,0.969,NaN,NaN,-1.07,-0.41,-1.73
1362,0.975,NaN,NaN,-1.04,-0.37,-1.7
1363,1.013,NaN,NaN,-0.99,-0.33,-1.66
1364,1.041,NaN,NaN,-0.95,-0.28,-1.61
1365,0.877,NaN,NaN,-0.89,-0.23,-1.55
1366,1.073,NaN,NaN,-0.83,-0.17,-1.49
1367,1.052,NaN,NaN,-0.77,-0.1,-1.43
1368,0.923,NaN,NaN,-0.7,-0.04,-1.36
1369,1.036,NaN,NaN,-0.63,0.03,-1.3
1370,1.034,NaN,NaN,-0.57,0.09,-1.23
1371,1.028,NaN,NaN,-0.51,0.16,-1.17
1372,1.002,NaN,NaN,-0.45,0.21,-1.11
1373,0.96,NaN,NaN,-0.4,0.26,-1.06
1374,1.092,NaN,NaN,-0.36,0.31,-1.02
1375,1.036,NaN,NaN,-0.32,0.34,-0.98
1376,1.041,NaN,NaN,-0.3,0.37,-0.96
1377,1.077,NaN,NaN,-0.28,0.38,-0.94
1378,1.045,NaN,NaN,-0.27,0.39,-0.94
1379,1.131,NaN,NaN,-0.28,0.39,-0.94
1380,0.977,NaN,NaN,-0.29,0.37,-0.95
1381,0.908,NaN,NaN,-0.31,0.35,-0.98
1382,1.059,NaN,NaN,-0.34,0.32,-1
1383,1.066,NaN,NaN,-0.38,0.29,-1.04
1384,0.987,NaN,NaN,-0.41,0.25,-1.08
1385,1.096,NaN,NaN,-0.46,0.21,-1.12
1386,1.045,NaN,NaN,-0.5,0.16,-1.16
1387,1.029,NaN,NaN,-0.54,0.12,-1.2
1388,1.043,NaN,NaN,-0.58,0.09,-1.24
1389,0.855,NaN,NaN,-0.61,0.06,-1.27
1390,1.022,NaN,NaN,-0.63,0.03,-1.29
1391,0.999,NaN,NaN,-0.65,0.01,-1.31
1392,0.965,NaN,NaN,-0.66,0.01,-1.32
1393,1.025,NaN,NaN,-0.66,0.01,-1.32
1394,0.954,NaN,NaN,-0.65,0.01,-1.31
1395,1.056,NaN,NaN,-0.63,0.03,-1.3
1396,0.915,NaN,NaN,-0.61,0.05,-1.28
