age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1705,0.98,0.999,0.983,-1.43,-0.76,-2.09
1706,1.02,1.078,1.051,-1.38,-0.72,-2.05
1707,1.02,1.027,1.083,-1.34,-0.68,-2.01
1708,1.083,1.039,1.025,-1.3,-0.64,-1.97
1709,0.865,0.996,0.988,-1.27,-0.6,-1.93
1710,1.027,0.939,0.962,-1.23,-0.57,-1.89
1711,0.896,0.945,0.887,-1.19,-0.52,-1.85
1712,1.021,0.903,0.847,-1.15,-0.48,-1.81
1713,1.052,1.056,1.002,-1.1,-0.44,-1.76
1714,0.902,0.979,0.928,-1.05,-0.39,-1.71
1715,1.022,1.01,0.971,-1,-0.33,-1.66
1716,0.996,1.023,0.942,-0.94,-0.28,-1.6
1717,0.884,0.974,0.913,-0.88,-0.21,-1.54
1718,0.986,1.027,1.004,-0.82,-0.15,-1.48
1719,0.941,0.92,0.96,-0.75,-0.09,-1.42
1720,1.043,1.112,1.013,-0.69,-0.03,-1.36
1721,1.065,1.116,0.997,-0.64,0.02,-1.3
1722,1.057,1.043,1.002,-0.59,0.07,-1.25
1723,1.061,1.053,0.926,-0.55,0.12,-1.21
1724,1.032,0.948,0.93,-0.51,0.15,-1.18
1725,1.094,0.933,0.953,-0.49,0.17,-1.15
1726,1.088,0.992,0.992,-0.48,0.19,-1.14
1727,0.967,1.031,0.963,-0.47,0.19,-1.13
1728,1.043,1.089,1.007,-0.47,0.19,-1.14
1729,0.969,1.005,0.9,-0.48,0.18,-1.15
1730,0.963,1.005,0.981,-0.5,0.16,-1.16
1731,1.081,0.897,0.942,-0.52,0.15,-1.18
1732,1.051,1.016,0.971,-0.54,0.13,-1.2
1733,0.927,1.002,0.949,-0.56,0.1,-1.22
1734,0.992,1.009,0.991,-0.58,0.08,-1.24
1735,1.001,0.88,0.909,-0.6,0.06,-1.26
1736,0.994,1.067,1.022,-0.62,0.04,-1.28
1737,0.988,1.032,1,-0.64,0.03,-1.3
1738,1.005,0.937,0.876,-0.65,0.01,-1.32
1739,1.093,1.112,1.116,-0.67,-0.01,-1.33
1740,1.02,1.031,0.989,-0.68,-0.02,-1.35
1741,1.015,0.892,0.948,-0.7,-0.03,-1.36
1742,1.04,1.044,1.024,-0.71,-0.04,-1.37
1743,0.985,1.064,0.989,-0.72,-0.05,-1.38
1744,0.997,1.042,1.022,-0.72,-0.06,-1.38
1745,0.965,1.028,0.98,-0.72,-0.06,-1.39
1746,1.033,0.993,0.968,-0.72,-0.06,-1.39
1747,0.991,0.938,0.929,-0.72,-0.05,-1.38
1748,1.028,1.05,1.034,-0.7,-0.04,-1.37
1749,0.913,1.057,0.972,-0.69,-0.02,-1.35
1750,1.105,0.856,1.022,-0.66,0,-1.33
1751,0.914,0.973,1.018,-0.64,0.03,-1.3
1752,0.9,0.958,0.93,-0.6,0.06,-1.27
1753,1,1.049,0.959,-0.57,0.09,-1.23
1754,1.056,1.107,1.11,-0.54,0.13,-1.2
1755,1.054,0.876,0.994,-0.5,0.16,-1.16
1756,1.094,0.904,0.949,-0.47,0.19,-1.13
1757,1.074,1.049,1.014,-0.44,0.22,-1.1
1758,1.013,0.968,0.927,-0.42,0.25,-1.08
1759,1.02,0.98,0.896,-0.39,0.27,-1.06
1760,1.025,1.076,1.033,-0.38,0.28,-1.04
1761,1.056,1.001,1.01,-0.37,0.3,-1.03
1762,1.04,1.1,0.998,-0.36,0.3,-1.02
1763,0.998,1.13,0.971,-0.35,0.31,-1.02
1764,1.063,1.015,0.996,-0.35,0.31,-1.01
1765,0.914,1.077,0.953,-0.35,0.31,-1.02
1766,0.962,1.033,1.03,-0.36,0.31,-1.02
1767,1.036,1.017,1.009,-0.36,0.3,-1.03
1768,1.054,1.039,1.063,-0.38,0.29,-1.04
1769,1.026,0.881,0.95,-0.39,0.27,-1.06
1770,0.971,1.026,0.933,-0.42,0.25,-1.08
1771,1.108,1.022,1.018,-0.45,0.22,-1.11
1772,1.03,1.006,0.998,-0.48,0.18,-1.15
1773,1.091,1.04,0.991,-0.53,0.13,-1.19
1774,1.037,1.086,1.063,-0.59,0.08,-1.25
1775,1.02,1.056,1.114,-0.65,0.01,-1.31
1776,0.991,1.053,0.974,-0.72,-0.06,-1.39
1777,1.063,0.924,1.099,-0.8,-0.14,-1.47
1778,0.929,0.923,0.891,-0.89,-0.22,-1.55
1779,1.074,1.067,1.065,-0.97,-0.31,-1.64
1780,0.89,0.971,0.968,-1.06,-0.4,-1.73
1781,1.05,1.015,1.091,-1.15,-0.48,-1.81
1782,1.041,1.062,0.973,-1.23,-0.56,-1.89
1783,0.763,0.99,0.934,-1.3,-0.63,-1.97
1784,1.017,0.959,1.089,-1.36,-0.7,-2.02
1785,1.01,1.009,1.007,-1.41,-0.75,-2.08
1786,0.923,0.937,0.985,-1.45,-0.79,-2.12
1787,0.966,0.998,1.042,-1.48,-0.82,-2.14
1788,1.07,1.012,0.999,-1.49,-0.83,-2.16
1789,0.895,1.052,1.005,-1.49,-0.83,-2.16
1790,0.867,0.963,0.944,-1.48,-0.82,-2.15
1791,0.858,1.028,0.972,-1.46,-0.8,-2.13
1792,1.03,0.972,0.919,-1.43,-0.77,-2.09
1793,1.013,0.909,1.04,-1.39,-0.73,-2.06
1794,0.97,0.97,0.939,-1.35,-0.69,-2.02
1795,0.92,1.023,1.002,-1.31,-0.65,-1.97
1796,1.071,1.074,1.073,-1.27,-0.61,-1.93
1797,1.028,1.04,1.036,-1.23,-0.57,-1.89
1798,1.02,1.072,1.096,-1.19,-0.53,-1.86
1799,0.992,0.986,0.997,-1.16,-0.5,-1.83
1800,1.001,0.995,0.972,-1.14,-0.48,-1.8
1801,1.053,1.084,1.006,-1.12,-0.46,-1.79
1802,0.871,1.028,1.008,-1.12,-0.45,-1.78
1803,0.943,1.069,0.954,-1.12,-0.45,-1.78
1804,1.062,1.05,1.007,-1.12,-0.46,-1.79
1805,0.988,1.102,1.015,-1.14,-0.48,-1.8
1806,1.039,1.018,0.992,-1.16,-0.5,-1.82
1807,0.894,1.079,1.035,-1.18,-0.52,-1.85
1808,1.059,1.045,1.022,-1.21,-0.55,-1.87
1809,1.008,0.973,1.055,-1.24,-0.58,-1.9
1810,0.992,1.026,1.071,-1.27,-0.6,-1.93
1811,1.078,0.939,0.891,-1.3,-0.63,-1.96
1812,0.95,0.824,0.985,-1.32,-0.66,-1.98
1813,0.859,0.972,0.864,-1.34,-0.68,-2.01
1814,0.99,1.007,1.036,-1.36,-0.7,-2.02
1815,0.854,0.907,0.92,-1.37,-0.71,-2.04
1816,0.99,0.817,0.933,-1.38,-0.72,-2.05
1817,0.966,0.939,0.857,-1.39,-0.72,-2.05
1818,1.002,1.017,1.002,-1.39,-0.72,-2.05
1819,0.949,0.878,0.929,-1.38,-0.72,-2.05
1820,1.04,1.07,0.998,-1.38,-0.72,-2.04
1821,0.965,0.938,0.95,-1.37,-0.71,-2.04
1822,1.021,1.049,0.943,-1.37,-0.7,-2.03
1823,0.942,0.929,0.912,-1.36,-0.7,-2.03
1824,0.985,0.977,0.94,-1.36,-0.7,-2.02
1825,0.968,1.015,0.993,-1.36,-0.69,-2.02
1826,1.068,1.027,0.963,-1.36,-0.69,-2.02
1827,0.961,0.92,0.848,-1.36,-0.69,-2.02
1828,0.972,1.04,1.094,-1.36,-0.69,-2.02
1829,1.017,1.039,1.027,-1.36,-0.69,-2.02
1830,0.947,0.972,1.031,-1.35,-0.69,-2.01
1831,0.875,0.92,0.919,-1.34,-0.68,-2.01
1832,0.947,0.818,0.905,-1.33,-0.67,-2
1833,1.023,0.904,0.857,-1.32,-0.65,-1.98
1834,0.946,0.912,1.026,-1.3,-0.63,-1.96
1835,0.994,1.019,0.932,-1.27,-0.61,-1.93
1836,0.956,0.76,0.841,-1.24,-0.58,-1.91
1837,0.978,0.866,0.892,-1.21,-0.55,-1.87
1838,1.056,0.886,1,-1.18,-0.51,-1.84
1839,0.931,1.024,0.98,-1.14,-0.48,-1.8
1840,1.064,0.979,0.99,-1.11,-0.44,-1.77
1841,0.955,1.021,0.949,-1.08,-0.41,-1.74
1842,0.937,0.96,1.006,-1.05,-0.39,-1.71
1843,1.014,0.959,1,-1.03,-0.37,-1.69
1844,1.011,0.94,1.035,-1.02,-0.35,-1.68
1845,0.961,1.048,1.07,-1.01,-0.35,-1.68
1846,1.068,1.127,1.134,-1.02,-0.36,-1.68
1847,1.011,0.986,1.011,-1.03,-0.37,-1.7
1848,1.042,0.934,0.878,-1.06,-0.39,-1.72
1849,0.999,0.875,0.899,-1.09,-0.43,-1.75
1850,1.036,1.032,1.022,-1.13,-0.47,-1.79
1851,0.997,0.963,1.021,-1.17,-0.51,-1.84
1852,0.977,1.007,0.953,-1.22,-0.56,-1.88
1853,1.021,1.001,1.044,-1.27,-0.61,-1.93
1854,0.935,0.951,0.91,-1.32,-0.66,-1.98
1855,0.934,1.024,0.972,-1.37,-0.71,-2.03
1856,0.879,1.058,1.025,-1.41,-0.75,-2.08
1857,0.944,0.996,0.96,-1.45,-0.79,-2.12
1858,0.916,1.002,0.926,-1.49,-0.82,-2.15
1859,1.05,1.06,1.035,-1.51,-0.85,-2.18
1860,0.991,0.935,0.939,-1.54,-0.87,-2.2
1861,0.945,1.113,1.051,-1.55,-0.89,-2.21
1862,0.979,0.999,0.982,-1.55,-0.89,-2.22
1863,1.037,0.83,1.019,-1.55,-0.89,-2.22
1864,0.895,1.045,1.009,-1.55,-0.88,-2.21
1865,1.015,0.87,0.903,-1.53,-0.87,-2.19
1866,0.964,1.08,1.032,-1.51,-0.85,-2.17
1867,0.975,0.969,0.988,-1.48,-0.82,-2.14
1868,0.876,1.085,1.003,-1.44,-0.78,-2.11
1869,0.992,0.988,1.038,-1.4,-0.74,-2.07
1870,0.919,0.841,0.929,-1.36,-0.7,-2.02
1871,0.923,0.959,0.856,-1.31,-0.65,-1.97
1872,1.034,0.928,1.031,-1.26,-0.6,-1.92
1873,1.007,1.092,0.981,-1.21,-0.55,-1.87
1874,0.953,0.922,0.902,-1.16,-0.5,-1.83
1875,1.005,1.074,1.067,-1.12,-0.46,-1.78
1876,1.013,1.038,0.971,-1.08,-0.42,-1.74
1877,1.028,1.03,0.887,-1.05,-0.39,-1.71
1878,1.047,1.027,1.056,-1.02,-0.36,-1.69
1879,1.015,1.054,1.034,-1.01,-0.35,-1.67
1880,1.042,1.089,1.069,-1,-0.34,-1.66
1881,0.945,1.01,0.937,-1,-0.34,-1.67
1882,1.034,1.116,1.094,-1.01,-0.35,-1.67
1883,1.03,1.12,1.088,-1.03,-0.36,-1.69
1884,0.958,0.88,0.875,-1.05,-0.38,-1.71
1885,0.936,0.972,0.97,-1.07,-0.41,-1.73
1886,0.977,0.954,1.174,-1.1,-0.43,-1.76
1887,0.998,0.932,0.942,-1.12,-0.46,-1.78
1888,0.965,0.796,0.874,-1.15,-0.48,-1.81
1889,1.026,1.063,1.057,-1.17,-0.51,-1.83
1890,0.941,0.923,0.936,-1.19,-0.53,-1.85
1891,1.012,0.868,0.991,-1.21,-0.54,-1.87
1892,0.989,0.952,0.9,-1.22,-0.55,-1.88
1893,0.972,0.893,0.926,-1.22,-0.56,-1.89
1894,0.95,0.967,1.004,-1.23,-0.56,-1.89
1895,1.024,0.993,1.09,-1.22,-0.56,-1.89
1896,0.955,0.942,1.002,-1.22,-0.55,-1.88
1897,0.926,1.021,1.143,-1.2,-0.54,-1.87
1898,0.997,1.005,1.003,-1.18,-0.52,-1.85
1899,1.041,1.025,1.071,-1.16,-0.5,-1.82
1900,0.981,1.088,0.991,-1.13,-0.47,-1.8
1901,0.948,1.065,1.089,-1.1,-0.44,-1.77
1902,0.996,1.024,1.013,-1.07,-0.41,-1.73
1903,0.98,1.055,1.068,-1.03,-0.37,-1.7
1904,0.935,0.855,0.942,-1,-0.33,-1.66
1905,1.009,1.014,1.043,-0.96,-0.29,-1.62
1906,1.013,0.975,1.043,-0.92,-0.26,-1.58
1907,1.061,0.989,1.068,-0.88,-0.22,-1.54
1908,1.005,1.007,1.036,-0.84,-0.18,-1.51
1909,0.954,1.03,1.054,-0.81,-0.15,-1.47
1910,1.004,0.982,1.064,-0.78,-0.11,-1.44
1911,1.08,1.042,1.061,-0.75,-0.08,-1.41
1912,0.995,1.008,0.967,-0.72,-0.05,-1.38
1913,1.035,1.016,1.064,-0.69,-0.03,-1.35
1914,0.949,0.973,0.967,-0.66,0,-1.33
1915,1.076,0.964,1.016,-0.64,0.03,-1.3
1916,0.994,0.971,0.929,-0.61,0.05,-1.28
1917,0.946,0.98,0.955,-0.59,0.08,-1.25
1918,0.985,0.88,0.916,-0.56,0.1,-1.23
1919,0.993,1.07,1.105,-0.54,0.12,-1.2
1920,1.041,0.969,0.958,-0.51,0.15,-1.18
1921,1.076,1.08,1.081,-0.49,0.18,-1.15
1922,1.002,0.982,0.998,-0.46,0.2,-1.13
1923,1.099,0.962,0.942,-0.44,0.23,-1.1
1924,0.965,1.079,1.06,-0.41,0.25,-1.08
1925,1.006,1.091,1.132,-0.39,0.27,-1.05
1926,0.968,1.022,1.034,-0.37,0.3,-1.03
1927,1.072,1.021,1.115,-0.34,0.32,-1
1928,1.013,0.998,0.992,-0.32,0.34,-0.98
1929,0.964,1.033,1.049,-0.3,0.37,-0.96
1930,1.145,1.136,1.163,-0.27,0.39,-0.93
1931,1.01,1.038,1.072,-0.24,0.42,-0.91
1932,1.088,1.094,1.135,-0.22,0.45,-0.88
1933,1.036,1.09,1.137,-0.18,0.48,-0.85
1934,1.036,0.906,1.028,-0.15,0.52,-0.81
1935,0.866,1.121,1.087,-0.11,0.56,-0.77
1936,1.045,0.94,0.995,-0.06,0.6,-0.72
1937,0.996,1.066,1.008,-0.01,0.65,-0.68
1938,1.078,1.046,1.075,0.04,0.7,-0.62
1939,1.032,1.03,1.041,0.09,0.75,-0.57
1940,1.067,1.054,0.983,0.14,0.81,-0.52
1941,0.95,1.038,1.061,0.19,0.86,-0.47
1942,1.15,0.918,1.035,0.24,0.9,-0.42
1943,1.124,1.021,1.006,0.28,0.94,-0.38
1944,1.05,1.058,1.073,0.31,0.98,-0.35
1945,1.026,1.022,1.118,0.34,1,-0.33
1946,1.106,1.109,1.149,0.35,1.01,-0.32
1947,1.049,0.92,0.836,0.34,1.01,-0.32
1948,1.087,1.131,1.171,0.33,0.99,-0.33
1949,1.05,0.999,1.039,0.3,0.97,-0.36
1950,1.068,0.954,1.034,0.27,0.93,-0.39
1951,1.15,1.07,1.123,0.22,0.89,-0.44
1952,1.022,1.028,1.123,0.17,0.83,-0.49
1953,1.051,1.04,1.175,0.11,0.78,-0.55
1954,1.121,1.065,1.064,0.05,0.72,-0.61
1955,0.979,1.028,1.094,-0.01,0.66,-0.67
1956,0.966,0.918,0.931,-0.06,0.6,-0.73
1957,1.033,0.972,1.077,-0.11,0.55,-0.78
1958,1.051,0.973,1.069,-0.16,0.5,-0.82
1959,0.851,0.832,0.844,-0.19,0.47,-0.86
1960,1.015,1.031,1.01,-0.22,0.44,-0.88
1961,1.067,1.015,1.04,-0.24,0.42,-0.9
1962,1.082,0.981,1.049,-0.25,0.41,-0.91
1963,1.01,1.037,1.075,-0.25,0.41,-0.92
1964,1.011,1.061,1.079,-0.25,0.41,-0.91
1965,1.03,0.936,1.079,-0.24,0.42,-0.91
1966,1.078,1.056,1.053,-0.23,0.43,-0.9
1967,0.967,0.908,0.922,-0.22,0.44,-0.88
1968,1.152,0.865,0.935,-0.21,0.45,-0.87
1969,0.848,0.995,0.981,-0.2,0.47,-0.86
1970,1.064,1.028,1.081,-0.19,0.48,-0.85
1971,1.064,1.014,1.118,-0.18,0.49,-0.84
1972,1.091,1.03,1.034,-0.17,0.49,-0.83
1973,1.034,1.084,1.084,-0.16,0.5,-0.83
1974,1.09,1.003,1.002,-0.16,0.51,-0.82
1975,0.953,1.065,1.058,-0.15,0.51,-0.81
1976,1.08,1.057,1.048,-0.14,0.52,-0.8
1977,1.08,1.017,1.035,-0.12,0.54,-0.79
1978,0.935,0.905,0.937,-0.11,0.56,-0.77
1979,1.09,0.929,1.041,-0.08,0.58,-0.74
1980,0.94,1.074,1.064,-0.05,0.61,-0.71
1981,0.995,1.062,1.094,-0.01,0.65,-0.67
1982,1.035,1.023,1.072,0.03,0.7,-0.63
1983,1.002,1.023,1.08,0.08,0.75,-0.58
1984,1.041,1.074,1.086,0.14,0.8,-0.52
1985,1.081,0.977,0.991,0.2,0.86,-0.46
1986,1.008,0.991,1.048,0.26,0.92,-0.4
1987,1.067,0.894,1.041,0.32,0.98,-0.34
1988,1.074,0.986,1.036,0.38,1.04,-0.28
1989,1.162,1.063,1.105,0.43,1.1,-0.23
1990,1.099,0.955,0.966,0.48,1.15,-0.18
1991,1.065,1.156,1.107,0.53,1.19,-0.14
1992,1.05,1.067,1.071,0.56,1.23,-0.1
1993,1.058,1.058,1.002,0.59,1.26,-0.07
1994,1.091,1.111,1.187,0.62,1.28,-0.05
1995,1.058,1.04,1.102,0.63,1.3,-0.03
1996,0.987,1.11,1.136,0.65,1.31,-0.02
1997,1.091,0.997,1.137,0.66,1.32,-0.01
1998,1.173,1.072,1.23,0.66,1.32,0
1999,1.065,0.996,1.102,0.66,1.33,0
2000,1.081,1.062,1.207,0.67,1.33,0
2001,0.988,1.041,1.054,0.67,1.33,0.01
2002,1.061,0.981,1.166,0.67,1.33,0.01
2003,NaN,1.052,1.126,NaN,NaN,NaN
2004,NaN,0.924,NaN,NaN,NaN,NaN