D'Arrigo et al. 2006 STD and RCS reconstructions of Northern Hemisphere,,,
"annual temperatures, plus Northern Hemisphere land-only extratropical (20-90N)",,,
"instrumental temperature data, expressed as anomalies in degrees Celsius ",,,
from the 1961-1990AD mean.,,,
,,,
,,,
Year AD,NH Land20-90,STD recon,RCS recon
713,,-0.64,-0.85
714,,-0.58,-0.8
715,,-0.42,-0.57
716,,-0.73,-1.08
717,,-0.91,-1.24
718,,-0.76,-1.07
719,,-0.67,-1.04
720,,-0.85,-1.13
721,,-0.57,-0.73
722,,-0.67,-0.89
723,,-0.5,-0.71
724,,-0.69,-0.87
725,,-0.25,-0.37
726,,-0.24,-0.43
727,,-0.24,-0.65
728,,-0.4,-0.52
729,,-0.59,-0.71
730,,-0.39,-0.4
731,,-0.32,-0.21
732,,-0.4,-0.42
733,,-0.43,-0.44
734,,-0.44,-0.66
735,,-0.57,-0.66
736,,-0.59,-0.84
737,,-0.89,-1.21
738,,-0.84,-1.17
739,,-0.8,-1.16
740,,-0.67,-0.99
741,,-0.39,-0.57
742,,-0.47,-0.73
743,,-0.19,-0.27
744,,-0.3,-0.28
745,,-0.5,-0.62
746,,-0.47,-0.55
747,,-0.54,-0.74
748,,-0.78,-1
749,,-0.42,-0.72
750,,-0.28,-0.46
751,,-0.11,-0.28
752,,-0.08,-0.3
753,,-0.04,-0.39
754,,-0.35,-0.51
755,,-0.45,-0.61
756,,-0.65,-0.86
757,,-0.65,-0.79
758,,-0.46,-0.59
759,,-0.25,-0.37
760,,-0.45,-0.68
761,,-0.31,-0.51
762,,-0.31,-0.41
763,,-0.02,-0.12
764,,-0.21,-0.24
765,,-0.15,-0.24
766,,-0.44,-0.71
767,,-0.47,-0.71
768,,-0.33,-0.52
769,,-0.65,-0.88
770,,-0.61,-0.77
771,,-0.46,-0.62
772,,-0.45,-0.58
773,,-0.6,-0.77
774,,-0.43,-0.67
775,,-0.28,-0.52
776,,-0.32,-0.53
777,,-0.39,-0.75
778,,-0.4,-0.59
779,,-0.38,-0.62
780,,-0.68,-0.95
781,,-0.55,-0.86
782,,-0.58,-0.85
783,,-0.7,-0.94
784,,-0.66,-0.87
785,,-0.51,-0.61
786,,-0.15,-0.24
787,,-0.23,-0.36
788,,-0.23,-0.42
789,,-0.28,-0.53
790,,0.05,-0.15
791,,-0.21,-0.5
792,,-0.05,-0.26
793,,-0.23,-0.41
794,,-0.37,-0.58
795,,-0.55,-0.77
796,,-0.42,-0.64
797,,-0.47,-0.62
798,,-0.37,-0.54
799,,-0.39,-0.62
800,,-0.51,-0.81
801,,-0.41,-0.64
802,,-0.63,-0.9
803,,-0.72,-0.86
804,,-0.79,-1.05
805,,-0.72,-0.89
806,,-0.54,-0.69
807,,-0.57,-0.75
808,,-0.17,-0.44
809,,-0.39,-0.73
810,,-0.54,-0.79
811,,-0.17,-0.29
812,,-0.54,-0.75
813,,-0.28,-0.5
814,,-0.52,-0.88
815,,-0.56,-0.89
816,,-0.58,-0.9
817,,-0.39,-0.71
818,,-0.44,-0.74
819,,-0.2,-0.42
820,,-0.21,-0.43
821,,-0.28,-0.42
822,,0,-0.27
823,,-0.33,-0.54
824,,-0.7,-0.96
825,,-0.53,-0.83
826,,-0.61,-0.98
827,,-0.73,-1
828,,-0.66,-0.94
829,,-0.59,-0.86
830,,-0.44,-0.61
831,,-0.38,-0.66
832,,-0.32,-0.64
833,,0.05,-0.15
834,,-0.23,-0.5
835,,-0.66,-0.92
836,,-0.56,-0.73
837,,-0.55,-0.71
838,,-0.67,-0.86
839,,-0.64,-0.91
840,,-0.3,-0.54
841,,-0.06,-0.31
842,,0.01,-0.24
843,,-0.21,-0.41
844,,0.01,-0.17
845,,-0.23,-0.48
846,,-0.22,-0.44
847,,-0.29,-0.5
848,,-0.26,-0.42
849,,-0.36,-0.55
850,,-0.26,-0.47
851,,-0.85,-1.06
852,,-0.81,-1.06
853,,-0.67,-0.86
854,,-0.89,-1.27
855,,-0.67,-0.96
856,,-0.74,-1.03
857,,-0.27,-0.44
858,,-0.48,-0.69
859,,-0.43,-0.63
860,,-0.48,-0.68
861,,-0.46,-0.66
862,,-0.44,-0.66
863,,-0.69,-0.97
864,,-0.8,-1.06
865,,-0.74,-0.95
866,,-0.63,-0.84
867,,-0.56,-0.75
868,,-0.4,-0.65
869,,-0.36,-0.63
870,,-0.56,-0.88
871,,-0.4,-0.6
872,,-0.25,-0.45
873,,-0.16,-0.35
874,,-0.12,-0.27
875,,-0.33,-0.56
876,,-0.32,-0.54
877,,-0.21,-0.4
878,,-0.2,-0.42
879,,-0.28,-0.62
880,,-0.05,-0.32
881,,-0.06,-0.33
882,,-0.01,-0.16
883,,-0.14,-0.44
884,,-0.36,-0.64
885,,-0.05,-0.27
886,,-0.12,-0.31
887,,-0.3,-0.57
888,,-0.52,-0.77
889,,-0.57,-0.85
890,,-0.36,-0.64
891,,-0.35,-0.7
892,,-0.1,-0.43
893,,-0.25,-0.42
894,,0.21,0.03
895,,0.28,0.14
896,,-0.24,-0.51
897,,-0.43,-0.65
898,,-0.36,-0.51
899,,-0.06,-0.28
900,,-0.46,-0.71
901,,-0.49,-0.78
902,,-0.47,-0.64
903,,-0.79,-1.06
904,,-0.57,-0.8
905,,-0.57,-0.74
906,,-0.66,-0.86
907,,-0.63,-0.77
908,,-0.58,-0.85
909,,-0.64,-0.9
910,,-0.58,-0.82
911,,-0.64,-0.85
912,,-0.47,-0.75
913,,-0.42,-0.7
914,,-0.28,-0.54
915,,-0.36,-0.62
916,,-0.54,-0.89
917,,-0.3,-0.69
918,,-0.38,-0.61
919,,-0.25,-0.46
920,,-0.37,-0.56
921,,-0.46,-0.68
922,,-0.44,-0.6
923,,-0.31,-0.47
924,,-0.33,-0.45
925,,-0.43,-0.57
926,,-0.4,-0.54
927,,-0.19,-0.25
928,,-0.3,-0.35
929,,-0.12,-0.21
930,,-0.32,-0.47
931,,-0.2,-0.32
932,,-0.27,-0.49
933,,-0.34,-0.46
934,,-0.48,-0.68
935,,-0.36,-0.51
936,,-0.11,-0.19
937,,-0.41,-0.51
938,,-0.16,-0.26
939,,-0.34,-0.57
940,,-0.62,-0.77
941,,-0.58,-0.75
942,,-0.55,-0.81
943,,-0.36,-0.38
944,,-0.34,-0.29
945,,-0.43,-0.34
946,,-0.35,-0.36
947,,-0.71,-0.7
948,,-0.56,-0.53
949,,-0.33,-0.17
950,,-0.6,-0.57
951,,-0.64,-0.79
952,,-0.66,-0.78
953,,-0.57,-0.75
954,,-0.42,-0.42
955,,-0.46,-0.48
956,,-0.29,-0.26
957,,-0.08,-0.07
958,,-0.4,-0.44
959,,-0.48,-0.48
960,,-0.19,-0.18
961,,-0.33,-0.33
962,,-0.31,-0.35
963,,-0.15,-0.08
964,,-0.22,-0.08
965,,0.04,0.13
966,,0.01,0
967,,-0.2,-0.12
968,,0.02,0.11
969,,-0.37,-0.3
970,,-0.48,-0.36
971,,-0.56,-0.49
972,,-0.41,-0.46
973,,-0.47,-0.47
974,,-0.28,-0.21
975,,-0.49,-0.37
976,,-0.47,-0.32
977,,-0.26,-0.13
978,,-0.27,-0.1
979,,-0.28,-0.07
980,,-0.25,-0.07
981,,-0.44,-0.42
982,,-0.42,-0.36
983,,-0.31,-0.26
984,,-0.27,-0.23
985,,-0.55,-0.59
986,,-0.08,0.1
987,,-0.45,-0.36
988,,-0.24,-0.13
989,,-0.05,0
990,,-0.17,-0.1
991,,-0.44,-0.3
992,,-0.4,-0.31
993,,-0.17,-0.03
994,,-0.17,-0.21
995,,0.02,0.02
996,,-0.22,-0.18
997,,-0.23,-0.17
998,,-0.15,-0.04
999,,-0.25,-0.26
1000,,-0.36,-0.34
1001,,-0.4,-0.46
1002,,-0.42,-0.45
1003,,-0.41,-0.46
1004,,-0.38,-0.47
1005,,-0.22,-0.37
1006,,-0.15,-0.27
1007,,-0.31,-0.34
1008,,-0.28,-0.25
1009,,-0.41,-0.42
1010,,-0.55,-0.59
1011,,-0.61,-0.68
1012,,-0.52,-0.59
1013,,-0.49,-0.48
1014,,-0.19,-0.15
1015,,-0.32,-0.25
1016,,-0.22,-0.14
1017,,-0.16,0.03
1018,,-0.09,-0.01
1019,,-0.36,-0.39
1020,,-0.13,-0.2
1021,,-0.35,-0.4
1022,,-0.33,-0.28
1023,,-0.26,-0.24
1024,,-0.43,-0.38
1025,,-0.64,-0.7
1026,,-0.46,-0.43
1027,,-0.28,-0.31
1028,,-0.17,-0.14
1029,,-0.34,-0.35
1030,,-0.01,-0.04
1031,,-0.08,-0.06
1032,,-0.56,-0.51
1033,,-0.07,-0.09
1034,,-0.18,-0.2
1035,,-0.32,-0.48
1036,,-0.33,-0.48
1037,,-0.32,-0.47
1038,,-0.33,-0.35
1039,,-0.37,-0.38
1040,,-0.23,-0.38
1041,,-0.2,-0.35
1042,,-0.17,-0.26
1043,,0,-0.14
1044,,-0.29,-0.37
1045,,-0.4,-0.43
1046,,-0.3,-0.36
1047,,-0.41,-0.49
1048,,-0.2,-0.25
1049,,-0.29,-0.33
1050,,-0.18,-0.29
1051,,-0.39,-0.58
1052,,-0.19,-0.35
1053,,-0.19,-0.3
1054,,-0.41,-0.47
1055,,-0.38,-0.46
1056,,-0.28,-0.34
1057,,-0.15,-0.23
1058,,-0.45,-0.52
1059,,-0.31,-0.41
1060,,-0.44,-0.51
1061,,-0.27,-0.3
1062,,-0.21,-0.28
1063,,-0.25,-0.36
1064,,-0.18,-0.25
1065,,-0.45,-0.53
1066,,-0.31,-0.41
1067,,-0.42,-0.51
1068,,-0.54,-0.63
1069,,-0.48,-0.6
1070,,-0.45,-0.55
1071,,-0.63,-0.77
1072,,-0.49,-0.64
1073,,-0.23,-0.27
1074,,-0.16,-0.28
1075,,-0.5,-0.54
1076,,-0.28,-0.38
1077,,-0.31,-0.42
1078,,-0.36,-0.42
1079,,-0.25,-0.31
1080,,-0.33,-0.47
1081,,-0.26,-0.4
1082,,-0.19,-0.32
1083,,-0.18,-0.27
1084,,-0.07,-0.2
1085,,-0.09,-0.22
1086,,-0.36,-0.47
1087,,-0.22,-0.37
1088,,-0.37,-0.56
1089,,-0.08,-0.24
1090,,-0.25,-0.42
1091,,-0.32,-0.32
1092,,-0.35,-0.57
1093,,-0.19,-0.31
1094,,-0.24,-0.42
1095,,-0.14,-0.31
1096,,-0.25,-0.49
1097,,-0.19,-0.32
1098,,-0.4,-0.53
1099,,-0.56,-0.67
1100,,-0.45,-0.57
1101,,-0.53,-0.65
1102,,-0.39,-0.44
1103,,-0.25,-0.33
1104,,-0.15,-0.27
1105,,-0.45,-0.49
1106,,-0.22,-0.24
1107,,-0.21,-0.26
1108,,-0.45,-0.49
1109,,-0.36,-0.42
1110,,-0.4,-0.49
1111,,-0.51,-0.63
1112,,-0.46,-0.51
1113,,-0.33,-0.46
1114,,-0.26,-0.42
1115,,-0.54,-0.64
1116,,-0.47,-0.57
1117,,-0.43,-0.52
1118,,-0.59,-0.73
1119,,-0.37,-0.4
1120,,-0.51,-0.63
1121,,-0.55,-0.67
1122,,-0.78,-0.87
1123,,-0.38,-0.54
1124,,-0.53,-0.73
1125,,-0.71,-0.86
1126,,-0.62,-0.73
1127,,-0.48,-0.57
1128,,-0.57,-0.65
1129,,-0.52,-0.65
1130,,-0.49,-0.56
1131,,-0.3,-0.37
1132,,-0.31,-0.4
1133,,-0.49,-0.66
1134,,-0.62,-0.75
1135,,-0.43,-0.47
1136,,-0.66,-0.82
1137,,-0.67,-0.74
1138,,-0.61,-0.61
1139,,-0.59,-0.63
1140,,-0.82,-1.12
1141,,-0.53,-0.8
1142,,-0.35,-0.57
1143,,-0.34,-0.54
1144,,-0.05,-0.36
1145,,-0.49,-0.68
1146,,-0.41,-0.62
1147,,-0.35,-0.6
1148,,-0.39,-0.66
1149,,-0.47,-0.7
1150,,-0.56,-0.67
1151,,-0.73,-1.03
1152,,-0.61,-0.88
1153,,-0.46,-0.65
1154,,-0.56,-0.86
1155,,-0.35,-0.61
1156,,-0.39,-0.66
1157,,-0.42,-0.73
1158,,-0.46,-0.69
1159,,-0.32,-0.62
1160,,-0.59,-0.82
1161,,-0.53,-0.83
1162,,-0.32,-0.52
1163,,-0.28,-0.62
1164,,-0.36,-0.64
1165,,-0.28,-0.66
1166,,-0.38,-0.66
1167,,-0.34,-0.6
1168,,-0.2,-0.47
1169,,-0.26,-0.52
1170,,-0.47,-0.71
1171,,-0.27,-0.58
1172,,-0.5,-0.75
1173,,-0.41,-0.67
1174,,-0.49,-0.69
1175,,-0.31,-0.54
1176,,-0.55,-0.77
1177,,-0.49,-0.61
1178,,-0.34,-0.56
1179,,-0.56,-0.71
1180,,-0.67,-0.84
1181,,-0.28,-0.48
1182,,-0.71,-0.88
1183,,-0.36,-0.6
1184,,-0.57,-0.75
1185,,-0.43,-0.59
1186,,-0.63,-0.83
1187,,-0.46,-0.68
1188,,-0.47,-0.64
1189,,-0.55,-0.8
1190,,-0.51,-0.75
1191,,-0.57,-0.78
1192,,-0.46,-0.67
1193,,-0.56,-0.96
1194,,-0.55,-0.88
1195,,-0.62,-0.9
1196,,-0.72,-0.98
1197,,-0.57,-0.82
1198,,-0.62,-0.92
1199,,-0.55,-0.75
1200,,-0.63,-0.84
1201,,-0.73,-0.93
1202,,-0.58,-0.8
1203,,-0.67,-0.8
1204,,-0.6,-0.82
1205,,-0.82,-1
1206,,-0.69,-0.95
1207,,-0.65,-0.96
1208,,-0.24,-0.51
1209,,-0.38,-0.69
1210,,-0.47,-0.76
1211,,-0.27,-0.54
1212,,-0.43,-0.61
1213,,-0.45,-0.67
1214,,-0.52,-0.71
1215,,-0.5,-0.69
1216,,-0.42,-0.73
1217,,-0.58,-0.79
1218,,-0.29,-0.61
1219,,-0.41,-0.71
1220,,-0.32,-0.6
1221,,-0.17,-0.43
1222,,-0.37,-0.59
1223,,-0.31,-0.6
1224,,-0.2,-0.47
1225,,-0.11,-0.36
1226,,-0.17,-0.41
1227,,-0.2,-0.5
1228,,-0.04,-0.34
1229,,-0.12,-0.45
1230,,-0.23,-0.51
1231,,-0.07,-0.4
1232,,-0.24,-0.48
1233,,-0.34,-0.65
1234,,-0.51,-0.74
1235,,-0.51,-0.81
1236,,-0.53,-0.77
1237,,-0.31,-0.58
1238,,-0.53,-0.84
1239,,-0.43,-0.75
1240,,-0.2,-0.57
1241,,-0.29,-0.6
1242,,-0.31,-0.61
1243,,-0.44,-0.75
1244,,-0.28,-0.59
1245,,-0.36,-0.64
1246,,-0.3,-0.62
1247,,-0.31,-0.62
1248,,-0.43,-0.7
1249,,-0.33,-0.6
1250,,-0.3,-0.63
1251,,-0.33,-0.63
1252,,-0.33,-0.69
1253,,-0.29,-0.54
1254,,-0.24,-0.59
1255,,-0.11,-0.41
1256,,-0.27,-0.57
1257,,-0.06,-0.39
1258,,-0.31,-0.7
1259,,-0.37,-0.75
1260,,-0.28,-0.59
1261,,-0.37,-0.69
1262,,-0.64,-0.89
1263,,-0.73,-1
1264,,-0.5,-0.81
1265,,-0.34,-0.67
1266,,-0.25,-0.6
1267,,-0.28,-0.6
1268,,-0.26,-0.52
1269,,-0.25,-0.48
1270,,-0.37,-0.65
1271,,-0.27,-0.56
1272,,-0.27,-0.6
1273,,-0.15,-0.48
1274,,-0.11,-0.49
1275,,-0.14,-0.45
1276,,-0.18,-0.55
1277,,-0.16,-0.58
1278,,-0.37,-0.69
1279,,-0.28,-0.61
1280,,-0.47,-0.79
1281,,-0.3,-0.56
1282,,-0.32,-0.72
1283,,-0.31,-0.7
1284,,-0.29,-0.67
1285,,-0.36,-0.66
1286,,-0.48,-0.81
1287,,-0.37,-0.72
1288,,-0.26,-0.51
1289,,-0.59,-0.79
1290,,-0.56,-0.77
1291,,-0.49,-0.77
1292,,-0.5,-0.78
1293,,-0.69,-0.98
1294,,-0.57,-0.88
1295,,-0.6,-0.87
1296,,-0.48,-0.78
1297,,-0.73,-0.99
1298,,-0.55,-0.89
1299,,-0.58,-0.87
1300,,-0.83,-1.13
1301,,-0.46,-0.73
1302,,-0.63,-0.92
1303,,-0.5,-0.76
1304,,-0.54,-0.76
1305,,-0.52,-0.76
1306,,-0.41,-0.7
1307,,-0.41,-0.6
1308,,-0.41,-0.61
1309,,-0.3,-0.46
1310,,-0.51,-0.68
1311,,-0.29,-0.5
1312,,-0.62,-0.78
1313,,-0.38,-0.64
1314,,-0.48,-0.7
1315,,-0.22,-0.46
1316,,-0.37,-0.68
1317,,-0.45,-0.72
1318,,-0.29,-0.66
1319,,-0.28,-0.64
1320,,-0.29,-0.62
1321,,-0.33,-0.66
1322,,-0.34,-0.57
1323,,-0.35,-0.61
1324,,-0.29,-0.53
1325,,-0.2,-0.51
1326,,-0.3,-0.57
1327,,-0.26,-0.58
1328,,-0.38,-0.61
1329,,-0.42,-0.67
1330,,-0.67,-0.9
1331,,-0.33,-0.62
1332,,-0.43,-0.73
1333,,-0.5,-0.87
1334,,-0.4,-0.7
1335,,-0.55,-0.87
1336,,-0.58,-0.89
1337,,-0.5,-0.78
1338,,-0.6,-0.89
1339,,-0.48,-0.82
1340,,-0.61,-0.86
1341,,-0.37,-0.7
1342,,-0.6,-0.86
1343,,-0.52,-0.72
1344,,-0.63,-0.78
1345,,-0.69,-0.92
1346,,-0.73,-0.95
1347,,-0.8,-1.03
1348,,-0.82,-1.01
1349,,-0.7,-0.88
1350,,-0.79,-1.03
1351,,-0.5,-0.81
1352,,-0.49,-0.68
1353,,-0.71,-0.81
1354,,-0.46,-0.67
1355,,-0.47,-0.61
1356,,-0.29,-0.51
1357,,-0.46,-0.56
1358,,-0.64,-0.8
1359,,-0.64,-0.76
1360,,-0.5,-0.7
1361,,-0.57,-0.69
1362,,-0.39,-0.57
1363,,-0.48,-0.73
1364,,-0.48,-0.7
1365,,-0.52,-0.7
1366,,-0.28,-0.55
1367,,-0.2,-0.55
1368,,-0.53,-0.74
1369,,-0.39,-0.58
1370,,-0.58,-0.76
1371,,-0.5,-0.73
