D'Arrigo et al. 2006 STD and RCS reconstructions of Northern Hemisphere,,,
1372,,-0.52,-0.77
1373,,-0.38,-0.67
1374,,-0.32,-0.66
1375,,-0.44,-0.73
1376,,-0.33,-0.57
1377,,-0.5,-0.69
1378,,-0.42,-0.72
1379,,-0.31,-0.61
1380,,-0.47,-0.7
1381,,-0.37,-0.66
1382,,-0.27,-0.54
1383,,-0.34,-0.65
1384,,-0.3,-0.56
1385,,-0.4,-0.59
1386,,-0.14,-0.42
1387,,-0.32,-0.63
1388,,-0.26,-0.55
1389,,-0.47,-0.7
1390,,-0.27,-0.5
1391,,-0.15,-0.46
1392,,-0.53,-0.76
1393,,-0.49,-0.69
1394,,-0.28,-0.48
1395,,-0.24,-0.41
1396,,-0.24,-0.42
1397,,-0.42,-0.62
1398,,-0.41,-0.64
1399,,-0.46,-0.63
1400,,-0.46,-0.57
1401,,-0.47,-0.68
1402,,-0.48,-0.74
1403,,-0.35,-0.56
1404,,-0.33,-0.48
1405,,-0.21,-0.43
1406,,-0.28,-0.41
1407,,-0.3,-0.53
1408,,-0.31,-0.5
1409,,-0.04,-0.3
1410,,-0.15,-0.4
1411,,-0.1,-0.34
1412,,-0.39,-0.49
1413,,-0.11,-0.33
1414,,-0.26,-0.53
1415,,-0.26,-0.52
1416,,-0.43,-0.6
1417,,-0.14,-0.35
1418,,-0.1,-0.31
1419,,-0.29,-0.42
1420,,-0.36,-0.46
1421,,-0.37,-0.51
1422,,-0.43,-0.59
1423,,-0.43,-0.55
1424,,-0.02,-0.23
1425,,-0.29,-0.51
1426,,-0.14,-0.41
1427,,-0.07,-0.36
1428,,-0.2,-0.47
1429,,-0.25,-0.53
1430,,-0.15,-0.36
1431,,-0.07,-0.28
1432,,-0.28,-0.4
1433,,-0.16,-0.31
1434,,0.08,-0.1
1435,,-0.27,-0.46
1436,,-0.16,-0.44
1437,,-0.14,-0.33
1438,,-0.29,-0.52
1439,,-0.27,-0.45
1440,,-0.29,-0.43
1441,,-0.24,-0.48
1442,,-0.29,-0.47
1443,,-0.34,-0.31
1444,,-0.32,-0.47
1445,,-0.24,-0.4
1446,,-0.35,-0.5
1447,,-0.36,-0.47
1448,,-0.43,-0.52
1449,,-0.49,-0.66
1450,,-0.37,-0.55
1451,,-0.47,-0.67
1452,,-0.58,-0.77
1453,,-0.74,-0.87
1454,,-0.58,-0.77
1455,,-0.81,-0.94
1456,,-0.82,-0.96
1457,,-0.76,-0.93
1458,,-0.53,-0.71
1459,,-0.78,-0.95
1460,,-0.55,-0.78
1461,,-0.6,-0.83
1462,,-0.67,-0.83
1463,,-0.82,-0.94
1464,,-0.7,-0.93
1465,,-0.69,-0.89
1466,,-0.9,-1.08
1467,,-0.62,-0.85
1468,,-0.89,-1.1
1469,,-0.62,-0.8
1470,,-0.53,-0.7
1471,,-0.46,-0.77
1472,,-0.67,-0.92
1473,,-0.53,-0.81
1474,,-0.51,-0.69
1475,,-0.38,-0.69
1476,,-0.43,-0.64
1477,,-0.61,-0.77
1478,,-0.46,-0.68
1479,,-0.65,-0.8
1480,,-0.45,-0.6
1481,,-0.69,-0.91
1482,,-0.43,-0.63
1483,,-0.48,-0.68
1484,,-0.54,-0.75
1485,,-0.48,-0.63
1486,,-0.4,-0.62
1487,,-0.45,-0.7
1488,,-0.33,-0.62
1489,,-0.4,-0.63
1490,,-0.15,-0.49
1491,,-0.36,-0.65
1492,,-0.32,-0.62
1493,,-0.39,-0.59
1494,,-0.49,-0.67
1495,,-0.64,-0.89
1496,,-0.19,-0.57
1497,,-0.43,-0.78
1498,,-0.43,-0.72
1499,,-0.25,-0.55
1500,,-0.19,-0.47
1501,,-0.13,-0.42
1502,,-0.33,-0.55
1503,,-0.6,-0.72
1504,,-0.33,-0.49
1505,,-0.2,-0.45
1506,,-0.23,-0.46
1507,,-0.07,-0.36
1508,,-0.1,-0.38
1509,,-0.38,-0.67
1510,,-0.08,-0.39
1511,,-0.43,-0.63
1512,,-0.19,-0.47
1513,,-0.34,-0.61
1514,,-0.47,-0.65
1515,,-0.42,-0.59
1516,,-0.58,-0.74
1517,,-0.66,-0.75
1518,,-0.55,-0.73
1519,,-0.38,-0.63
1520,,-0.61,-0.79
1521,,-0.35,-0.57
1522,,-0.65,-0.86
1523,,-0.55,-0.77
1524,,-0.6,-0.8
1525,,-0.52,-0.73
1526,,-0.45,-0.74
1527,,-0.4,-0.67
1528,,-0.43,-0.77
1529,,-0.59,-0.84
1530,,-0.32,-0.66
1531,,-0.58,-0.79
1532,,-0.59,-0.78
1533,,-0.54,-0.73
1534,,-0.54,-0.81
1535,,-0.23,-0.48
1536,,-0.2,-0.52
1537,,-0.18,-0.45
1538,,-0.1,-0.41
1539,,-0.03,-0.37
1540,,-0.02,-0.37
1541,,-0.32,-0.56
1542,,-0.34,-0.63
1543,,-0.55,-0.7
1544,,-0.41,-0.6
1545,,-0.21,-0.45
1546,,-0.37,-0.51
1547,,-0.33,-0.47
1548,,-0.3,-0.46
1549,,-0.45,-0.56
1550,,-0.21,-0.43
1551,,-0.18,-0.41
1552,,-0.11,-0.3
1553,,-0.21,-0.49
1554,,-0.26,-0.5
1555,,-0.24,-0.45
1556,,-0.36,-0.51
1557,,-0.25,-0.41
1558,,-0.08,-0.38
1559,,-0.08,-0.35
1560,,-0.04,-0.29
1561,,-0.19,-0.35
1562,,-0.19,-0.33
1563,,-0.11,-0.33
1564,,0.05,-0.22
1565,,0.06,-0.18
1566,,-0.13,-0.39
1567,,-0.09,-0.32
1568,,-0.09,-0.37
1569,,-0.2,-0.38
1570,,-0.37,-0.61
1571,,-0.5,-0.63
1572,,-0.29,-0.5
1573,,-0.32,-0.49
1574,,-0.33,-0.55
1575,,-0.11,-0.32
1576,,-0.46,-0.65
1577,,-0.34,-0.57
1578,,-0.41,-0.6
1579,,-0.56,-0.75
1580,,-0.59,-0.82
1581,,-0.56,-0.77
1582,,-0.34,-0.6
1583,,-0.43,-0.61
1584,,-0.28,-0.58
1585,,-0.51,-0.69
1586,,-0.22,-0.48
1587,,-0.73,-0.89
1588,,-0.56,-0.79
1589,,-0.8,-0.97
1590,,-0.52,-0.75
1591,,-0.61,-0.86
1592,,-0.46,-0.79
1593,,-0.69,-0.92
1594,,-0.38,-0.73
1595,,-0.46,-0.79
1596,,-0.75,-1
1597,,-0.42,-0.76
1598,,-0.5,-0.81
1599,,-0.33,-0.65
1600,,-0.53,-0.83
1601,,-0.88,-1.15
1602,,-0.77,-1.02
1603,,-0.67,-1.05
1604,,-0.61,-0.9
1605,,-0.75,-1.04
1606,,-0.57,-0.88
1607,,-0.68,-1.03
1608,,-0.64,-0.89
1609,,-0.61,-0.92
1610,,-0.38,-0.68
1611,,-0.4,-0.68
1612,,-0.4,-0.62
1613,,-0.39,-0.58
1614,,-0.42,-0.68
1615,,-0.43,-0.73
1616,,-0.29,-0.58
1617,,-0.37,-0.56
1618,,-0.49,-0.66
1619,,-0.43,-0.62
1620,,-0.55,-0.73
1621,,-0.3,-0.48
1622,,-0.49,-0.74
1623,,-0.45,-0.63
1624,,-0.41,-0.58
1625,,-0.39,-0.56
1626,,-0.33,-0.51
1627,,-0.44,-0.65
1628,,-0.56,-0.74
1629,,-0.36,-0.69
1630,,-0.37,-0.58
1631,,-0.54,-0.8
1632,,-0.34,-0.51
1633,,-0.45,-0.73
1634,,-0.39,-0.55
1635,,-0.6,-0.77
1636,,-0.38,-0.52
1637,,-0.28,-0.44
1638,,-0.22,-0.39
1639,,-0.45,-0.56
1640,,-0.18,-0.3
1641,,-0.61,-0.73
1642,,-0.8,-0.9
1643,,-0.66,-0.81
1644,,-0.61,-0.79
1645,,-0.65,-0.84
1646,,-0.56,-0.78
1647,,-0.57,-0.8
1648,,-0.45,-0.65
1649,,-0.43,-0.64
1650,,-0.33,-0.55
1651,,-0.42,-0.71
1652,,-0.51,-0.77
1653,,-0.4,-0.73
1654,,-0.36,-0.64
1655,,-0.34,-0.55
1656,,-0.24,-0.54
1657,,-0.23,-0.54
1658,,-0.1,-0.47
1659,,-0.21,-0.51
1660,,-0.24,-0.56
1661,,-0.25,-0.55
1662,,-0.35,-0.63
1663,,-0.52,-0.74
1664,,-0.37,-0.66
1665,,-0.34,-0.63
1666,,-0.37,-0.59
1667,,-0.51,-0.64
1668,,-0.32,-0.58
1669,,-0.27,-0.55
1670,,-0.52,-0.67
1671,,-0.47,-0.7
1672,,-0.23,-0.51
1673,,-0.33,-0.59
1674,,-0.65,-0.96
1675,,-0.56,-0.85
1676,,-0.56,-0.84
1677,,-0.76,-0.96
1678,,-0.55,-0.87
1679,,-0.58,-0.89
1680,,-0.7,-0.99
1681,,-0.4,-0.72
1682,,-0.44,-0.73
1683,,-0.33,-0.67
1684,,-0.42,-0.65
1685,,-0.62,-0.76
1686,,-0.39,-0.61
1687,,-0.5,-0.71
1688,,-0.58,-0.79
1689,,-0.39,-0.56
1690,,-0.38,-0.58
1691,,-0.2,-0.42
1692,,-0.41,-0.63
1693,,-0.19,-0.46
1694,,-0.18,-0.41
1695,,-0.4,-0.66
1696,,-0.58,-0.82
1697,,-0.6,-0.81
1698,,-0.83,-1.03
1699,,-0.99,-1.19
1700,,-0.79,-1.02
1701,,-0.75,-1.02
1702,,-0.57,-0.8
1703,,-0.51,-0.79
1704,,-0.5,-0.83
1705,,-0.65,-0.94
1706,,-0.65,-0.98
1707,,-0.22,-0.55
1708,,-0.43,-0.7
1709,,-0.64,-0.81
1710,,-0.43,-0.63
1711,,-0.73,-0.97
1712,,-0.55,-0.83
1713,,-0.47,-0.66
1714,,-0.67,-0.89
1715,,-0.31,-0.57
1716,,-0.49,-0.73
1717,,-0.59,-0.91
1718,,-0.54,-0.82
1719,,-0.32,-0.67
1720,,-0.25,-0.59
1721,,-0.41,-0.74
1722,,-0.1,-0.48
1723,,-0.3,-0.59
1724,,-0.18,-0.6
1725,,-0.22,-0.54
1726,,-0.04,-0.45
1727,,0.03,-0.29
1728,,-0.35,-0.66
1729,,-0.11,-0.44
1730,,-0.32,-0.6
1731,,-0.36,-0.69
1732,,-0.35,-0.61
1733,,-0.22,-0.5
1734,,-0.37,-0.6
1735,,-0.53,-0.7
1736,,-0.39,-0.59
1737,,-0.36,-0.58
1738,,-0.4,-0.66
1739,,-0.1,-0.42
1740,,-0.51,-0.73
1741,,-0.67,-0.86
1742,,-0.65,-0.88
1743,,-0.52,-0.71
1744,,-0.64,-0.94
1745,,-0.52,-0.82
1746,,-0.58,-0.94
1747,,-0.44,-0.78
1748,,-0.32,-0.62
1749,,-0.28,-0.52
1750,,-0.34,-0.61
1751,,-0.48,-0.76
1752,,-0.29,-0.57
1753,,-0.35,-0.63
1754,,-0.24,-0.52
1755,,-0.37,-0.58
1756,,-0.26,-0.54
1757,,-0.22,-0.54
1758,,-0.19,-0.53
1759,,-0.26,-0.6
1760,,-0.31,-0.61
1761,,0.05,-0.31
1762,,-0.2,-0.53
1763,,0.08,-0.26
1764,,-0.28,-0.57
1765,,-0.26,-0.48
1766,,-0.11,-0.33
1767,,-0.13,-0.3
1768,,-0.3,-0.5
1769,,-0.39,-0.61
1770,,-0.33,-0.56
1771,,-0.37,-0.59
1772,,-0.25,-0.53
1773,,-0.4,-0.59
1774,,-0.09,-0.33
1775,,-0.05,-0.28
1776,,-0.18,-0.44
1777,,-0.15,-0.38
1778,,-0.11,-0.38
1779,,-0.43,-0.59
1780,,-0.41,-0.58
1781,,-0.18,-0.43
1782,,-0.31,-0.49
1783,,-0.52,-0.67
1784,,-0.36,-0.51
1785,,-0.31,-0.45
1786,,-0.5,-0.64
1787,,-0.44,-0.58
1788,,-0.49,-0.64
1789,,-0.48,-0.62
1790,,-0.48,-0.59
1791,,-0.4,-0.51
1792,,-0.32,-0.53
1793,,-0.32,-0.45
1794,,-0.43,-0.58
1795,,-0.41,-0.54
1796,,-0.36,-0.45
1797,,-0.52,-0.61
1798,,-0.39,-0.54
1799,,-0.48,-0.68
1800,,-0.64,-0.82
1801,,-0.4,-0.63
1802,,-0.29,-0.53
1803,,-0.37,-0.56
1804,,-0.37,-0.61
1805,,-0.17,-0.44
1806,,-0.36,-0.66
1807,,-0.25,-0.66
1808,,-0.09,-0.41
1809,,-0.44,-0.77
1810,,-0.47,-0.74
1811,,-0.35,-0.64
1812,,-0.67,-0.84
1813,,-0.64,-0.82
1814,,-0.7,-0.9
1815,,-0.79,-1
1816,,-0.72,-0.87
1817,,-0.75,-0.98
1818,,-0.83,-1.02
1819,,-0.6,-0.82
1820,,-0.72,-0.89
1821,,-0.91,-1.04
1822,,-0.73,-0.96
1823,,-0.54,-0.69
1824,,-0.6,-0.82
1825,,-0.61,-0.83
1826,,-0.52,-0.72
1827,,-0.68,-0.85
1828,,-0.19,-0.38
1829,,-0.27,-0.5
1830,,-0.55,-0.69
1831,,-0.46,-0.68
1832,,-0.44,-0.59
1833,,-0.45,-0.63
1834,,-0.44,-0.62
1835,,-0.67,-0.83
1836,,-0.72,-0.87
1837,,-1.01,-1.16
1838,,-0.76,-0.87
1839,,-0.73,-0.9
1840,,-0.75,-0.85
1841,,-0.79,-0.85
1842,,-0.57,-0.73
1843,,-0.7,-0.78
1844,,-0.65,-0.7
1845,,-0.64,-0.72
1846,,-0.55,-0.67
1847,,-0.58,-0.64
1848,,-0.53,-0.66
1849,,-0.74,-0.9
1850,,-0.64,-0.77
1851,,-0.54,-0.72
1852,,-0.43,-0.57
1853,,-0.51,-0.65
1854,,-0.44,-0.6
1855,,-0.4,-0.49
1856,-0.55,-0.55,-0.69
1857,-0.38,-0.39,-0.48
1858,-0.3,-0.19,-0.3
1859,0.09,-0.38,-0.45
1860,-0.51,-0.42,-0.41
1861,-0.31,-0.24,-0.27
1862,-0.67,-0.58,-0.54
1863,0.16,-0.6,-0.65
1864,-0.7,-0.57,-0.57
1865,-0.21,-0.54,-0.56
1866,-0.19,-0.58,-0.62
1867,-0.46,-0.5,-0.58
1868,-0.16,-0.35,-0.39
1869,-0.18,-0.57,-0.51
1870,-0.3,-0.37,-0.31
1871,-0.46,-0.54,-0.57
1872,-0.13,-0.56,-0.63
1873,-0.29,-0.43,-0.51
1874,-0.19,-0.54,-0.56
1875,-0.87,-0.45,-0.39
1876,-0.45,-0.56,-0.61
1877,-0.23,-0.37,-0.4
1878,0.17,-0.35,-0.34
1879,-0.38,-0.45,-0.43
1880,-0.37,-0.47,-0.47
1881,-0.43,-0.41,-0.57
1882,-0.22,-0.29,-0.36
1883,-0.57,-0.45,-0.45
1884,-0.67,-0.46,-0.44
1885,-0.69,-0.37,-0.39
1886,-0.51,-0.52,-0.43
1887,-0.45,-0.53,-0.53
1888,-0.69,-0.54,-0.45
1889,-0.33,-0.52,-0.51
1890,-0.26,-0.44,-0.4
1891,-0.54,-0.38,-0.35
1892,-0.6,-0.63,-0.6
1893,-0.71,-0.6,-0.59
1894,-0.26,-0.42,-0.42
1895,-0.57,-0.31,-0.31
1896,-0.4,-0.35,-0.29
1897,-0.35,-0.2,-0.16
1898,-0.32,-0.42,-0.35
1899,-0.27,-0.67,-0.68
1900,-0.18,-0.53,-0.54
1901,-0.2,-0.28,-0.28
1902,-0.55,-0.34,-0.29
1903,-0.46,-0.54,-0.51
1904,-0.53,-0.51,-0.53
1905,-0.42,-0.56,-0.64
1906,-0.22,-0.4,-0.35
1907,-0.72,-0.58,-0.51
1908,-0.51,-0.31,-0.28
1909,-0.49,-0.57,-0.39
1910,-0.33,-0.64,-0.58
1911,-0.41,-0.43,-0.37
1912,-0.71,-0.62,-0.61
1913,-0.38,-0.38,-0.3
1914,-0.17,-0.29,-0.28
1915,-0.24,-0.36,-0.34
1916,-0.42,-0.39,-0.34
1917,-0.79,-0.21,-0.26
1918,-0.44,-0.38,-0.32
1919,-0.53,-0.47,-0.48
1920,-0.29,-0.32,-0.29
1921,0.09,-0.26,-0.22
1922,-0.26,-0.37,-0.28
1923,-0.17,0.02,0.09
1924,-0.33,-0.16,-0.11
1925,-0.01,-0.1,-0.11
1926,-0.05,-0.26,-0.18
1927,-0.2,-0.12,-0.14
1928,-0.17,-0.22,-0.17
1929,-0.53,-0.27,-0.18
1930,0.01,0.01,0.09
1931,-0.03,-0.27,-0.24
1932,-0.01,-0.23,-0.19
1933,-0.41,-0.08,-0.04
1934,0.16,-0.01,0
1935,-0.11,0.05,0.1
1936,-0.09,0.02,0.04
1937,0.04,0.03,0.02
1938,0.35,0.13,0.17
1939,0.21,0.18,0.24
1940,-0.07,-0.04,-0.04
1941,-0.13,0.21,0.14
1942,-0.12,0.33,0.29
1943,0.2,0.37,0.31
1944,0.2,0.2,0.15
1945,-0.2,0.27,0.17
1946,0.04,0.3,0.26
1947,0.01,0.1,0.01
1948,0.15,0.07,0.18
1949,0,-0.28,-0.23
1950,-0.29,0.13,0.08
1951,-0.08,-0.04,0.04
1952,-0.07,-0.07,-0.05
1953,0.29,0.13,0.17
1954,-0.14,0.08,0.13
1955,-0.06,0.17,0.12
1956,-0.52,0.03,0.06
1957,-0.09,0.06,0.07
1958,0.06,0.12,0.12
1959,0,0.09,0.01
1960,-0.03,0.18,0.15
1961,0.15,0.1,0.1
1962,0.16,-0.16,-0.14
1963,0.13,-0.15,-0.2
1964,-0.35,0.17,0.19
1965,-0.3,0.05,0.12
1966,-0.17,-0.03,0.03
1967,-0.05,0.12,0.08
1968,-0.2,-0.04,-0.07
1969,-0.43,0.05,0.01
1970,-0.15,-0.15,-0.2
1971,-0.11,-0.13,-0.23
1972,-0.5,-0.14,-0.2
1973,0.13,-0.22,-0.33
1974,-0.25,-0.28,-0.3
1975,0.12,-0.29,-0.36
1976,-0.43,-0.17,-0.3
1977,0.14,-0.08,-0.15
1978,-0.08,-0.23,-0.27
1979,-0.01,0.01,-0.09
1980,0.02,-0.08,-0.14
1981,0.55,-0.08,-0.19
1982,-0.04,0.33,0.22
1983,0.34,0.15,0.13
1984,-0.12,0.09,0.18
1985,-0.16,0.02,0.06
1986,0.13,-0.05,0.13
1987,0.16,-0.24,-0.08
1988,0.45,-0.19,-0.03
1989,0.46,-0.07,0.04
1990,0.69,-0.17,-0.03
1991,0.47,-0.18,0.05
1992,0.12,-0.16,0.13
1993,0.19,-0.33,-0.13
1994,0.56,-0.11,0.06
1995,0.76,-0.18,0.04
1996,0.16,,
1997,0.59,,
1998,1,,
1999,0.92,,
2000,0.72,,
2001,0.8828,,
2002,0.9484,,
2003,0.8606,,
2004,0.8918,,